Name,Slot,Weight,Special,DLC,Physical,Strike,Slash,Pierce,Magic,Fire,Lightning,Holy,Immunity,Robustness,Focus,Vitality,Poise,Power
Navy Hood,Helm,1.7,+1 Mind,0.0,6.86,10.4,9.14,4.57,29.87,23.74,29.53,31.03,19.61,10.1,27.1,25.0,3.0,1434.59
Night Maiden Twin Crown,Helm,3.3,,0.0,12.25,15.35,12.69,17.26,27.27,19.19,26.85,28.97,25.49,15.15,20.56,20.37,5.0,1678.15
Night's Cavalry Helm,Helm,5.5,,0.0,24.51,22.77,25.38,24.37,24.68,22.73,25.5,31.03,15.69,24.24,9.35,9.26,8.0,2221.97
Night's Cavalry Helm (Altered),Helm,5.1,,0.0,23.53,21.78,24.37,22.34,23.38,22.22,24.16,30.34,12.75,21.21,8.41,8.33,8.0,2106.76
Nomadic Merchant's Chapeau,Helm,3.0,,0.0,13.73,15.35,12.69,11.68,22.08,17.17,22.82,21.38,23.53,14.14,28.97,18.52,4.0,1521.23
Nox Mirrorhelm,Helm,7.5,,0.0,19.61,16.83,27.92,25.38,43.51,26.77,28.19,36.55,28.43,33.33,24.3,38.89,6.0,2491.04
Nox Monk Hood,Helm,3.0,,0.0,13.73,15.35,14.21,12.69,25.97,19.19,25.5,21.38,23.53,15.15,16.82,16.67,4.0,1604.51
Nox Monk Hood (Altered),Helm,2.7,,0.0,12.25,13.86,12.69,11.68,24.68,18.18,24.16,19.31,20.59,12.12,13.08,12.96,3.0,1456.75
Nox Swordstress Crown,Helm,3.3,,0.0,13.73,16.83,14.21,15.74,28.57,18.18,28.19,26.21,23.53,15.15,20.56,20.37,5.0,1711.35
Nox Swordstress Crown (Altered),Helm,2.7,,0.0,11.27,13.86,11.68,12.69,25.97,15.66,25.5,23.45,20.59,11.11,15.89,15.74,2.0,1455.19
Octopus Head,Helm,3.6,,0.0,16.67,26.73,14.21,14.21,25.97,18.18,26.85,26.21,30.39,14.14,21.5,21.3,5.0,1838.44
Okina Mask,Helm,3.6,+3 Dexterity. Reduces focus by 44 points.,0.0,16.67,17.82,20.3,15.74,24.68,19.19,28.19,24.83,28.43,18.18,21.5,20.37,6.0,1833.7
Old Aristocrat Cowl,Helm,2.2,,0.0,12.25,12.38,11.68,12.69,22.08,18.18,22.82,17.24,17.65,11.11,14.02,14.81,3.0,1386.64
Olivinus Glintstone Crown,Helm,5.1,+3 Intelligence. Reduces HP by 9%.,0.0,21.57,15.35,26.4,24.37,28.57,22.73,22.82,26.21,15.69,26.26,9.35,9.26,6.0,2097.19
Omen Helm,Helm,9.9,Increases damage of Omen Bairn and Regal Omen Bairn by 5%.,0.0,32.84,26.73,34.52,34.52,29.87,26.26,35.57,33.79,28.43,27.27,22.43,30.56,14.0,2863.06
Omensmirk Mask,Helm,3.0,+2 Strength,0.0,15.2,13.86,12.69,12.69,20.13,17.17,26.85,24.83,28.43,12.12,18.69,18.52,6.0,1572.71
Page Hood,Helm,1.4,,0.0,8.82,6.93,4.57,4.57,28.57,21.21,30.2,31.03,14.71,8.08,27.1,26.85,2.0,1365.88
Perfumer Hood,Helm,1.7,,0.0,6.86,10.4,9.14,7.11,29.87,21.21,29.53,31.72,25.49,8.08,25.23,26.85,3.0,1439.94
Preceptor's Big Hat,Helm,3.6,+3 Mind. Reduces max Stamina by 9%.,0.0,12.25,13.86,12.69,12.69,35.71,24.75,32.21,33.1,25.49,12.12,41.12,38.89,5.0,1846.28
Prisoner Iron Mask,Helm,8.6,,0.0,33.33,29.21,35.53,34.52,29.87,24.75,30.2,33.1,28.43,44.44,32.71,18.52,12.0,2957.19
Prophet Blindfold,Helm,1.0,,0.0,0.98,4.46,4.57,1.02,29.22,21.21,26.85,31.03,13.73,5.05,25.23,25.0,1.0,1078.79
Pumpkin Helm,Helm,12.3,Reduces damage from headshots and impacts.,0.0,34.31,29.21,34.01,34.01,29.87,23.74,34.9,31.03,26.47,42.42,41.12,16.67,11.0,2955.42
Queen's Crescent Crown,Helm,2.2,+3 Intelligence,0.0,10.29,8.91,9.14,7.11,31.82,22.73,30.87,32.41,17.65,11.11,28.97,32.41,3.0,1567.39
Radahn Soldier Helm,Helm,4.0,,0.0,22.55,16.83,21.32,20.3,20.13,19.19,16.78,21.38,11.76,20.2,8.41,9.26,7.0,1833.49
Radahn's Redmane Helm,Helm,7.5,,0.0,33.33,26.73,34.01,31.98,31.17,25.25,30.2,33.1,25.49,42.42,16.82,14.81,11.0,2883.85
Radiant Gold Mask,Helm,2.2,Strengthens Golden Order incantations.,0.0,11.27,10.4,10.66,7.11,29.87,22.73,30.87,33.1,21.57,9.09,30.84,30.56,3.0,1600.42
Raging Wolf Helm,Helm,4.4,,0.0,23.04,20.3,23.86,22.84,22.73,19.7,16.11,22.76,13.73,23.23,7.48,7.41,7.0,1970.81
Raya Lucarian Helm,Helm,4.0,,0.0,21.57,16.83,23.35,22.34,22.08,18.18,15.44,19.31,11.76,22.22,8.41,8.33,7.0,1837.94
Redmane Knight Helm,Helm,5.1,,0.0,24.51,19.8,24.37,22.34,24.68,22.22,22.82,26.21,14.71,23.23,9.35,10.19,8.0,2114.59
Rotten Duelist Helm,Helm,6.4,Increases likelihood of being targeted by foes.,0.0,26.96,22.77,29.44,27.92,29.22,23.23,29.53,31.03,30.39,31.31,13.08,12.96,9.0,2506.99
Royal Knight Helm,Helm,6.6,,0.0,28.43,25.74,31.98,30.96,32.47,23.74,29.53,31.72,21.57,29.29,14.02,13.89,9.0,2616.79
Royal Remains Helm,Helm,4.6,Slowly replenishes HP when HP is under 18%.,0.0,20.59,19.8,23.35,21.32,22.08,18.18,18.79,21.38,14.71,24.24,9.35,4.63,7.0,1877.51
Ruler's Mask,Helm,2.2,+1 Faith,0.0,8.82,11.39,11.68,7.11,29.87,22.22,30.87,32.41,19.61,10.1,30.84,30.56,3.0,1542.03
Sacred Crown Helm,Helm,3.6,+1 Faith,0.0,16.67,18.81,15.74,18.27,23.38,19.19,28.19,27.59,26.47,18.18,21.5,22.22,5.0,1832.23
Sage Hood,Helm,2.2,,0.0,11.27,10.4,10.66,7.11,31.17,22.73,30.87,33.1,15.69,10.1,28.97,30.56,3.0,1599.97
Sanguine Noble Hood,Helm,1.4,,0.0,6.86,4.46,4.57,4.57,29.87,19.19,30.2,31.72,17.65,5.05,27.1,25.0,2.0,1281.58
Scaled Helm,Helm,6.8,,0.0,28.43,24.75,30.96,29.44,31.17,25.25,30.87,33.1,23.53,35.35,14.95,14.81,11.0,2652.12
Shining Horned Headband,Helm,3.3,Increases the attack power of Ancestral Infant's Head by 20%.,0.0,12.25,13.86,12.69,18.27,23.38,17.17,24.16,21.38,32.35,23.23,25.23,18.52,4.0,1620.51
Silver Tear Mask,Helm,4.6,+8 Arcane. Reduces physical attack (-5% AR),0.0,20.59,17.82,19.29,15.74,35.71,26.26,33.56,36.55,25.49,20.2,41.12,40.74,6.0,2261.73
Skeletal Mask,Helm,3.0,,0.0,12.25,13.86,15.74,15.74,22.08,17.17,24.16,21.38,22.55,14.14,22.43,22.22,4.0,1525.58
Snow Witch Hat,Helm,2.2,Strengthens cold sorceries by 10%.,0.0,8.82,10.4,10.66,7.11,29.87,23.23,30.87,31.72,15.69,14.14,28.97,28.7,3.0,1540.99
Spellblade's Pointed Hat,Helm,1.5,Strengthens magic and cold weapon skills by 2%.,0.0,6.37,3.96,6.6,6.6,29.22,19.7,27.52,31.03,14.71,8.08,23.36,25.0,2.0,1281.28
Traveler's Hat,Helm,1.7,,0.0,8.82,8.91,7.11,4.57,29.87,23.23,29.53,31.72,22.55,9.09,27.1,25.0,3.0,1461.91
Traveling Maiden Hood,Helm,1.6,,0.0,6.86,8.91,9.14,4.57,29.87,22.73,30.87,31.72,17.65,10.1,27.1,28.7,3.0,1421.92
Tree Sentinel Helm,Helm,8.1,,0.0,33.33,26.73,34.52,31.98,29.87,31.31,30.2,34.48,28.43,39.39,16.82,18.52,12.0,2939.03
Twinned Helm,Helm,5.1,,0.0,23.53,21.78,26.4,21.32,25.97,20.2,20.81,24.83,13.73,23.23,8.41,21.3,7.0,2091.22
Twinsage Glintstone Crown,Helm,5.1,+6 Intelligence. Reduces max Stamina and max HP by 9%.,0.0,21.57,15.35,26.4,24.37,28.57,22.73,22.82,26.21,15.69,26.26,9.35,9.26,6.0,2097.19
Vagabond Knight Helm,Helm,4.0,,0.0,22.55,17.82,21.32,20.3,20.13,18.18,18.79,19.31,13.73,23.23,8.41,8.33,7.0,1850.03
Veteran's Helm,Helm,8.1,,0.0,33.33,30.2,34.52,31.98,31.17,25.25,30.87,32.41,26.47,39.39,18.69,18.52,12.0,2904.04
Vulgar Militia Helm,Helm,3.6,,0.0,16.67,18.81,18.27,15.74,24.68,19.19,26.85,26.21,30.39,16.16,21.5,21.3,6.0,1825.06
White Mask,Helm,3.2,Slightly raises attack power (10% for 20s) when there is blood loss nearby.,0.0,13.24,14.85,16.75,13.71,22.73,18.69,26.17,25.52,22.55,18.18,19.63,20.37,5.0,1630.39
Witch's Glintstone Crown,Helm,5.1,+3 Intelligence. +3 Arcane. Reduces max Stamina by 18%.,0.0,21.57,15.35,26.4,24.37,28.57,22.73,22.82,26.21,15.69,26.26,9.35,9.26,6.0,2097.19
Zamor Mask,Helm,3.8,,0.0,20.59,16.83,22.34,19.29,20.13,15.66,14.09,19.31,8.82,27.27,4.67,7.41,6.0,1746.36
Dryleaf Robe,Chest,5.1,,1.0,25.98,33.17,21.32,21.32,91.56,60.1,84.56,97.24,37.25,25.25,71.03,65.74,10.0,4280.74
Dryleaf Robe (Altered),Chest,4.1,,1.0,20.59,30.2,13.71,13.71,89.61,57.58,83.22,95.17,34.31,24.24,62.62,58.33,8.0,3906.1
Gaius's Armor,Chest,20.1,,1.0,82.35,77.72,100.0,97.46,91.56,69.7,92.62,95.17,65.69,83.84,51.4,50.93,38.0,7786.87
Leda's Armor,Chest,10.6,"Slightly strengthens attacks following a dodge roll or backstep, as well as dash attacks.",1.0,62.25,55.45,61.93,59.39,70.78,51.52,47.65,70.34,28.43,52.53,20.56,19.44,21.0,5364.83
Oathseeker Knight Armor,Chest,9.2,,1.0,59.8,49.5,59.39,56.85,61.69,47.98,44.97,65.52,24.51,50.51,19.63,19.44,19.0,5017.18
Verdigris Armor,Chest,25.9,,1.0,100.0,87.62,100.0,94.92,87.66,68.18,97.32,91.72,80.39,97.98,29.91,41.67,47.0,8347.99
Iron Rivet Armor,Chest,7.1,,1.0,34.8,39.6,36.04,36.04,70.78,51.52,79.87,70.34,55.88,46.46,39.25,38.89,13.0,4401.47
Thiollier's Garb,Chest,7.1,Increases Arcane by +2,1.0,43.14,43.56,36.04,36.04,51.95,47.98,73.15,70.34,69.61,28.28,58.88,35.19,13.0,4340.73
Thiollier's Garb (Altered),Chest,6.3,,1.0,39.22,39.6,34.01,34.01,46.1,44.44,68.46,65.52,65.69,25.25,56.07,32.41,12.0,3990.06
High Priest Robe,Chest,4.2,,1.0,25.49,29.7,20.81,13.2,83.12,63.64,83.22,86.9,37.25,21.21,53.27,63.89,10.0,3999.78
Finger Robe,Chest,5.1,Enhances Finger Sorceries by 8%,1.0,29.41,32.67,26.4,20.81,84.42,64.65,84.56,88.28,41.18,21.21,59.81,75.93,12.0,4295.3
Braided Cord Robe,Chest,3.4,Enhances watchful and vengeful spirits summoned by horned bairns by 15%.,1.0,30.88,25.74,26.4,18.78,88.31,60.1,86.58,96.55,37.25,20.2,97.2,54.63,5.0,4321.47
Dancer's Dress,Chest,3.2,Enhances the power of dancing attacks by 2.5%.,1.0,20.59,13.37,30.96,13.71,81.82,63.64,79.87,85.52,33.33,21.21,50.47,52.78,5.0,3751.79
Dancer's Dress (Altered),Chest,2.4,Enhances the power of dancing attacks by 2.5%.,1.0,13.24,2.97,26.9,3.05,80.52,62.63,76.51,82.07,31.37,21.21,48.6,50.0,3.0,3289.21
Armor of Night,Chest,7.1,,1.0,34.8,35.15,40.61,40.61,80.52,47.98,63.76,86.9,53.92,32.32,42.99,42.59,12.0,4448.51
Igon's Armor,Chest,8.0,,1.0,46.57,50.5,48.22,48.22,70.78,57.58,79.87,75.17,55.88,38.38,46.73,46.3,17.0,5038.21
Igon's Armor (Altered),Chest,7.7,,1.0,43.14,47.03,44.67,44.67,66.23,55.05,76.51,70.34,52.94,34.34,42.06,41.67,16.0,4704.25
Ansbach's Attire,Chest,5.1,Slightly enhances Blood Oath and dynastic skills by 3%.,1.0,25.98,30.2,30.96,21.32,84.42,65.66,84.56,89.66,37.25,25.25,71.03,83.33,12.0,4273.19
Ansbach's Attire (Altered),Chest,4.1,Slightly enhances Blood Oath and dynastic skills by 3%.,1.0,20.59,26.24,26.9,13.71,83.12,64.65,83.22,88.28,34.31,25.25,62.62,70.37,10.0,3942.42
Freyja's Armor,Chest,9.7,,1.0,66.18,47.03,57.87,57.87,57.14,47.98,53.69,65.52,21.57,54.55,9.35,20.37,19.0,5164.99
Freyja's Armor (Altered),Chest,9.3,,1.0,63.24,43.56,55.33,55.33,51.95,44.44,47.65,60.69,20.59,52.53,0.0,19.44,17.0,4846.04
Armor of Solitude,Chest,24.0,,1.0,91.67,87.62,92.89,88.83,86.36,73.23,90.6,95.17,58.82,63.64,92.52,46.3,45.0,7857.46
Armor of Solitude (Altered),Chest,23.2,,1.0,89.71,84.16,88.83,85.28,84.42,71.21,89.26,93.1,55.88,60.61,84.11,42.59,43.0,7622.09
Messmer Soldier Armor,Chest,9.2,,1.0,59.31,48.02,61.42,58.88,53.25,48.99,46.31,56.55,21.57,42.42,14.95,14.81,18.0,4825.99
Messmer Soldier Armor (Altered),Chest,8.1,,1.0,59.31,48.02,61.42,58.88,53.25,48.99,46.31,56.55,21.57,42.42,14.95,14.81,18.0,4825.99
Black Knight Armor,Chest,13.7,,1.0,71.57,61.39,74.11,81.22,80.52,65.66,73.15,78.62,37.25,61.62,20.56,19.44,28.0,6419.83
Rakshasa Armor,Chest,12.8,Boosts All Damage by 2%,1.0,54.9,50.0,62.44,59.9,62.34,53.54,61.07,66.21,34.31,60.61,26.17,25.93,27.0,5189.99
Fire Knight Armor,Chest,9.3,Enhances incantations of Messmer's flame by 5%.,1.0,63.24,50.5,60.41,55.33,61.69,60.1,47.65,60.69,27.45,46.46,19.63,22.22,19.0,5197.69
Fire Knight Armor (Altered),Chest,8.4,,1.0,58.33,47.03,60.41,51.78,51.95,55.05,47.65,55.17,24.51,42.42,16.82,21.3,17.0,4790.54
Gloried Attire,Chest,7.1,,1.0,39.22,47.03,44.67,40.61,57.14,51.52,76.51,70.34,55.88,32.32,42.99,38.89,13.0,4438.5
Highland Attire,Chest,6.3,,1.0,34.8,43.56,40.61,36.04,51.95,47.98,73.15,65.52,53.92,28.28,39.25,35.19,13.0,4055.44
Death Knight Armor,Chest,11.2,Enhances skills and incantations of the ancient dragon cult by 2%.,1.0,61.76,52.97,61.93,61.93,60.39,48.99,83.22,56.55,24.51,42.42,14.95,38.89,22.0,5246.11
Messmer's Armor,Chest,7.8,,1.0,45.59,46.04,43.65,54.31,64.94,61.62,78.52,68.97,52.94,38.38,48.6,50.0,16.0,4922.38
Gravebird's Blackquill Armor,Chest,7.4,Increases Jump attack damage by 10%,1.0,42.16,46.04,47.21,39.59,69.48,50.51,75.17,77.24,52.94,32.32,42.06,38.89,16.0,4661.79
Gravebird Armor,Chest,6.0,,1.0,33.82,38.61,39.59,32.99,60.39,43.43,67.11,68.97,49.02,25.25,35.51,31.48,13.0,3951.34
Common Soldier Cloth Armor,Chest,8.8,,1.0,60.78,47.03,60.41,60.41,46.1,44.44,40.94,55.17,24.51,46.46,16.82,16.67,19.0,4744.74
Horned Warrior Armor,Chest,10.4,,1.0,66.18,61.39,65.48,57.87,66.23,51.52,59.06,60.69,30.39,59.6,16.82,21.3,22.0,5517.64
Divine Beast Warrior Armor,Chest,10.4,,1.0,63.24,58.91,62.94,60.41,66.23,51.52,59.06,65.52,30.39,54.55,16.82,22.22,22.0,5428.33
Divine Bird Warrior Armor,Chest,11.6,,1.0,68.63,63.86,68.53,62.94,74.03,57.58,63.76,70.34,36.27,56.57,21.5,21.3,25.0,5896.8
Rellana's Armor,Chest,11.8,,1.0,66.18,58.91,71.07,65.48,81.82,60.1,63.76,75.17,34.31,57.58,22.43,22.22,24.0,5970.54
Young Lion's Armor,Chest,15.0,,1.0,82.35,71.29,85.28,85.28,80.52,64.65,76.51,88.28,44.12,64.65,20.56,29.63,31.0,7013.28
Young Lion's Armor (Altered),Chest,13.7,,1.0,75.0,66.34,77.66,77.66,74.03,62.63,68.46,85.52,37.25,57.58,19.63,23.15,28.0,6453.17
Shadow Militiaman Armor,Chest,7.1,,1.0,34.8,43.56,40.61,40.61,66.23,55.05,73.15,60.69,67.65,29.29,35.51,35.19,13.0,4315.2
Ascetic's Loincloth,Chest,3.2,,1.0,29.9,2.97,26.9,13.71,81.82,63.64,83.22,91.72,41.18,23.23,26.17,58.33,10.0,3959.3
All-Knowing Armor,Chest,10.7,,0.0,63.24,58.91,68.53,60.41,80.52,47.98,68.46,60.69,27.45,46.46,19.63,19.44,22.0,5530.82
Alberich's Robe,Chest,4.1,Strengthens thorn sorcery,0.0,25.98,20.79,26.9,26.9,83.12,60.1,83.22,88.28,37.25,23.23,62.62,65.74,7.0,4091.05
Aristocrat Coat,Chest,7.1,,0.0,43.14,43.56,40.61,44.67,70.78,57.58,73.15,60.69,49.02,32.32,39.25,42.59,13.0,4608.75
Aristocrat Garb,Chest,4.9,,0.0,38.24,42.57,39.59,39.59,42.21,34.85,52.35,44.83,46.08,33.33,33.64,27.78,12.0,3674.45
Astrologer Robe,Chest,6.3,,0.0,32.84,30.2,30.96,30.96,87.66,65.66,89.26,89.66,49.02,24.24,84.11,70.37,12.0,4613.94
Azur's Glintstone Robe,Chest,7.1,,0.0,34.8,30.2,34.01,34.01,100.0,64.65,87.25,95.17,49.02,28.28,92.52,76.85,12.0,4891.6
Bandit Garb,Chest,7.7,,0.0,39.22,43.56,48.22,48.22,66.23,51.52,73.15,65.52,50.98,32.32,50.47,50.0,15.0,4540.72
Banished Knight Armor,Chest,17.5,,0.0,91.67,74.26,97.46,88.83,87.66,68.18,87.25,91.72,58.82,83.84,35.51,38.89,34.0,7760.95
Beast Champion Armor,Chest,17.5,,0.0,85.78,80.69,94.92,92.89,84.42,69.7,85.91,93.1,55.88,90.91,39.25,35.19,34.0,7693.35
Black Knife Armor,Chest,9.2,"Wearer's movement becomes silent, Rolls, jumping and walking make no noise",0.0,55.88,53.96,62.94,62.94,57.14,47.98,44.97,78.62,27.45,46.46,21.5,21.3,19.0,5058.96
Blackflame Monk Armor,Chest,11.8,,0.0,66.18,56.44,74.11,65.48,66.23,65.66,53.69,70.34,31.37,55.56,19.63,29.63,24.0,5771.27
Bloodhound Knight Armor,Chest,10.6,,0.0,60.78,56.44,71.07,68.53,61.69,51.52,47.65,71.03,31.37,50.51,21.5,21.3,19.0,5385.06
Blue Cloth Vest,Chest,7.7,,0.0,46.57,47.03,40.61,40.61,66.23,55.05,79.87,65.52,61.76,42.42,46.73,46.3,16.0,4799.83
Blue Silver Mail Armor,Chest,9.2,,0.0,60.78,47.03,65.48,57.87,70.78,51.52,53.69,55.17,24.51,60.61,16.82,16.67,19.0,5226.16
Briar Armor,Chest,11.8,Deals damage when rolling into targets. Damage increases exponentially with more briar pieces,0.0,63.24,56.44,68.53,62.94,70.78,62.63,59.06,75.17,34.31,71.72,22.43,22.22,21.0,5812.48
Bull-Goat Armor,Chest,26.5,,0.0,100.0,100.0,92.89,92.89,86.36,68.18,100.0,88.28,69.61,83.84,42.99,50.93,47.0,8262.5
Carian Knight Armor,Chest,10.4,,0.0,57.84,53.47,62.44,59.9,79.87,59.6,63.09,81.38,27.45,46.46,19.63,21.3,19.0,5529.73
Chain Armor,Chest,8.8,,0.0,58.33,43.56,65.48,60.41,46.1,55.05,40.94,55.17,24.51,42.42,10.28,16.67,17.0,4764.09
Chain-Draped Tabard,Chest,8.3,,0.0,46.57,50.5,48.22,48.22,70.78,57.58,79.87,75.17,61.76,42.42,51.4,50.93,17.0,5089.39
Champion Pauldron,Chest,5.1,,0.0,29.9,39.6,34.01,36.04,46.1,44.44,63.76,60.69,45.1,28.28,35.51,32.41,10.0,3642.52
Cleanrot Armor,Chest,15.0,,0.0,71.57,66.34,81.22,88.83,81.82,64.65,76.51,93.1,61.76,67.68,26.17,29.63,27.0,6816.83
Cloth Garb,Chest,3.2,,0.0,25.98,20.79,13.71,21.32,83.12,62.63,79.87,85.52,41.18,23.23,56.07,55.56,5.0,3938.37
Commoner's Garb,Chest,5.1,+1 Faith,0.0,25.98,33.17,34.01,30.96,83.12,62.63,84.56,88.28,41.18,25.25,71.03,76.85,8.0,4347.77
Commoner's Simple Garb,Chest,5.1,+1 Faith,0.0,20.59,33.17,34.01,30.96,84.42,63.64,84.56,88.28,45.1,24.24,71.03,76.85,8.0,4236.43
Confessor Armor,Chest,8.3,,0.0,43.14,53.96,44.67,48.22,74.03,57.58,83.22,70.34,61.76,50.51,46.73,50.93,16.0,5062.35
Crucible Axe Armor,Chest,15.5,Strengthens Aspects of the Crucible incantations,0.0,85.78,68.81,85.28,85.28,84.42,64.65,76.51,93.1,49.02,71.72,32.71,32.41,33.0,7227.41
Crucible Tree Armor,Chest,15.5,Strengthens Aspects of the Crucible incantations,0.0,86.76,68.81,88.83,80.2,84.42,60.1,76.51,100.0,49.02,71.72,32.71,32.41,33.0,7239.9
Cuckoo Surcoat,Chest,10.6,,0.0,63.24,53.96,68.53,65.48,77.27,55.05,47.65,60.69,27.45,55.56,21.5,21.3,22.0,5524.26
Deathbed Dress,Chest,3.2,"Slowly replenishes the HP of nearby allies, but not that of the wearer.",0.0,2.94,13.37,3.05,3.05,77.27,57.58,79.87,85.52,37.25,11.11,58.88,99.07,5.0,2912.0
Depraved Perfumer Robe,Chest,5.0,,0.0,29.41,29.7,26.4,20.81,85.71,64.14,83.89,87.59,63.73,22.22,51.4,74.07,8.0,4334.6
Eccentric's Armor,Chest,10.6,,0.0,63.24,53.96,62.94,65.48,70.78,55.05,47.65,65.52,34.31,60.61,21.5,19.44,21.0,5503.06
Elden Lord Armor,Chest,9.2,,0.0,58.33,53.96,57.87,62.94,57.14,57.58,47.65,55.17,31.37,55.56,16.82,19.44,19.0,5092.24
Erdtree Surcoat,Chest,10.6,,0.0,63.24,58.91,62.94,65.48,61.69,51.52,59.06,65.52,31.37,55.56,21.5,21.3,22.0,5436.25
Errant Sorcerer Robe,Chest,4.1,,0.0,20.59,20.79,30.96,21.32,84.42,63.64,83.22,89.66,34.31,23.23,62.62,65.74,8.0,3983.93
Exile Armor,Chest,9.2,,0.0,60.78,47.03,65.48,62.94,51.95,55.05,44.97,65.52,27.45,55.56,19.63,16.67,19.0,5123.9
Eye Surcoat,Chest,9.2,,0.0,63.24,43.56,65.48,60.41,57.14,55.05,47.65,60.69,24.51,55.56,19.63,16.67,21.0,5162.53
Fia's Robe,Chest,5.1,,0.0,25.98,30.2,26.9,26.9,81.82,62.63,84.56,89.66,45.1,21.21,71.03,100.0,8.0,4249.09
Fia's Robe (Altered),Chest,3.2,,0.0,13.24,20.79,13.71,13.71,77.27,57.58,79.87,86.9,33.33,10.1,53.27,86.11,5.0,3372.33
Fell Omen Cloak,Chest,5.1,,0.0,29.9,33.17,34.01,30.96,84.42,62.63,84.56,88.28,41.18,25.25,66.36,76.85,8.0,4458.02
Finger Maiden Robe,Chest,4.6,,0.0,28.43,23.27,23.86,16.24,89.61,66.16,89.26,95.17,37.25,21.21,58.88,58.33,10.0,4248.69
Fire Monk Armor,Chest,11.8,,0.0,68.63,61.39,68.53,62.94,70.78,67.17,63.76,65.52,31.37,55.56,22.43,22.22,22.0,5887.79
Fur Raiment,Chest,5.1,,0.0,29.9,33.17,30.96,30.96,43.51,35.86,59.06,48.97,61.76,42.42,51.4,35.19,8.0,3465.34
Gelmir Knight Armor,Chest,11.8,,0.0,66.18,56.44,71.07,68.53,70.78,62.63,68.46,75.17,34.31,55.56,22.43,21.3,24.0,5900.54
Godrick Knight Armor,Chest,11.8,,0.0,66.18,58.91,71.07,65.48,70.78,60.1,63.76,75.17,34.31,57.58,22.43,22.22,24.0,5860.14
Godskin Apostle Robe,Chest,4.1,,0.0,29.9,26.24,26.9,13.71,81.82,60.1,83.22,95.17,41.18,21.21,62.62,58.33,8.0,4158.54
Tree-and-Beast Surcoat,Chest,10.6,,0.0,63.24,56.44,65.48,62.94,66.23,55.05,53.69,65.52,31.37,55.56,21.5,21.3,22.0,5467.8
Haligtree Crest Surcoat,Chest,10.6,,0.0,51.96,63.86,60.41,62.94,83.77,47.98,68.46,55.17,31.37,55.56,21.5,22.22,21.0,5305.41
Highwayman Cloth Armor,Chest,7.7,,0.0,39.22,50.5,40.61,44.67,70.78,55.05,76.51,70.34,55.88,35.35,46.73,46.3,16.0,4671.35
Hoslow's Armor,Chest,11.8,,0.0,68.63,58.91,68.53,62.94,70.78,60.1,68.46,70.34,37.25,60.61,22.43,22.22,22.0,5902.43
Juvenile Scholar Robe,Chest,4.1,,0.0,25.98,30.2,30.96,26.9,83.12,60.1,83.22,86.9,37.25,25.25,58.88,65.74,7.0,4193.47
Knight Armor,Chest,10.6,,0.0,60.78,58.91,68.53,68.53,70.78,55.05,63.76,60.69,27.45,50.51,16.82,16.67,24.0,5500.34
Kaiden Armor,Chest,8.8,,0.0,58.33,43.56,60.41,60.41,51.95,44.44,47.65,55.17,24.51,55.56,10.28,10.19,18.0,4786.91
Land of Reeds Armor,Chest,8.3,,0.0,43.14,47.03,60.41,48.22,66.23,57.58,79.87,75.17,58.82,50.51,46.73,50.93,16.0,5047.33
Leather-Draped Tabard,Chest,8.3,,0.0,46.57,53.96,44.67,51.78,66.23,55.05,83.22,75.17,61.76,42.42,51.4,50.93,17.0,5066.65
Lionel's Armor,Chest,21.2,,0.0,85.78,80.69,97.46,100.0,87.66,75.25,87.25,93.1,61.76,100.0,39.25,46.3,40.0,7945.9
Lord of Blood's Robe,Chest,8.1,,0.0,45.59,49.5,43.65,43.65,64.94,61.62,81.88,91.72,61.76,23.23,51.4,50.93,17.0,4980.12
Malformed Dragon Armor,Chest,16.0,,0.0,82.35,74.26,88.83,85.28,84.42,65.66,92.62,89.66,55.88,76.77,35.51,35.19,31.0,7329.71
Maliketh's Armor,Chest,12.8,,0.0,66.18,58.91,71.07,68.53,70.78,57.58,63.76,88.28,34.31,57.58,22.43,46.3,24.0,5975.19
Marais Robe,Chest,4.1,,0.0,25.98,30.2,21.32,13.71,81.82,62.63,83.22,86.9,41.18,28.28,66.36,62.04,8.0,4066.52
Millicent's Robe,Chest,3.2,,0.0,20.59,20.79,21.32,13.71,81.82,60.1,83.22,86.9,37.25,21.21,58.88,58.33,7.0,3760.4
Millicent's Tunic,Chest,8.3,,0.0,29.9,30.2,30.96,26.9,84.42,63.64,85.91,89.66,45.1,24.24,71.03,70.37,10.0,4410.83
Mushroom Body,Chest,5.1,,0.0,29.9,35.15,13.71,26.9,86.36,26.77,85.91,89.66,100.0,24.24,84.11,70.37,5.0,4158.16
Noble's Traveling Garb,Chest,6.3,,0.0,29.9,33.17,30.96,34.01,86.36,68.18,87.25,91.72,45.1,24.24,71.03,76.85,10.0,4583.87
Old Aristocrat Gown,Chest,5.1,,0.0,34.8,35.15,34.01,36.04,61.69,51.52,63.76,48.97,41.18,25.25,32.71,35.19,10.0,3849.02
Omenkiller Robe,Chest,7.1,,0.0,43.14,39.6,36.04,36.04,57.14,47.98,76.51,70.34,65.69,28.28,42.99,42.59,16.0,4357.5
Perfumer's Traveling Garb,Chest,5.1,,0.0,29.9,30.2,26.9,21.32,84.42,65.66,84.56,89.66,55.88,23.23,71.03,65.74,10.0,4372.87
